timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d,pricePerShare
2024-01-07 23:01:46.496000+00:00,20603031243,3.1,3.1,,,,
2024-01-08 23:01:14.543000+00:00,21702077217,3.3,3.3,,,,
2024-01-09 23:01:26.888000+00:00,21511050786,3.5,3.5,,,,
2024-01-10 23:01:21.008000+00:00,23494154968,4.0,4.0,,,,
2024-01-11 23:12:09.831000+00:00,24326480765,3.9,3.9,,,,
2024-01-12 23:01:27.144000+00:00,23120204457,3.3,3.3,,,,
2024-01-13 23:01:23.138000+00:00,23924527266,3.5,3.5,,,,
2024-01-14 23:02:56.840000+00:00,23471325505,3.3,3.3,,,,
2024-01-15 23:01:26.015000+00:00,23531312308,3.3,3.3,,,,
2024-01-16 23:01:55.624000+00:00,24254117547,3.6,3.6,,,,
2024-01-17 23:01:27.715000+00:00,23424673089,3.5,3.5,,,,
2024-01-18 23:01:20.519000+00:00,22893966753,3.4,3.4,,,,
2024-01-19 23:01:19.909000+00:00,23159085894,4.5,4.5,,,,
2024-01-20 23:01:19.310000+00:00,22987318068,3.3,3.3,,,,
2024-01-21 23:01:32.760000+00:00,23036834477,3.1,3.1,,,,
2024-01-22 23:02:00.876000+00:00,21763237201,3.2,3.2,,,,
2024-01-23 23:12:54.948000+00:00,20616051080,3.8,3.8,,,,
2024-01-24 23:01:11.171000+00:00,20752318830,3.2,3.2,,,,
2024-01-25 23:01:21.912000+00:00,20815494202,3.3,3.3,,,,
2024-01-26 23:01:17.686000+00:00,21119276969,3.6,3.6,,,,
2024-01-27 23:01:18.482000+00:00,21259147600,3.5,3.5,,,,
2024-01-28 23:01:32.468000+00:00,21205990693,3.2,3.2,,,,
2024-01-29 23:01:23.598000+00:00,21678645386,3.1,3.1,,,,
2024-01-30 23:02:38.613000+00:00,22331470467,3.3,3.3,,,,
2024-01-31 23:01:33.553000+00:00,21403505916,3.5,3.5,,,,
2024-02-01 23:01:57.091000+00:00,21752922635,3.5,3.5,,,,
2024-02-02 23:13:21.777000+00:00,21805522279,3.3,3.3,,,,
2024-02-03 23:01:35.267000+00:00,21800358025,3.5,3.5,,,,
2024-02-04 23:01:59.994000+00:00,21839623933,3.0,3.0,,,,
2024-02-05 23:01:42.861000+00:00,21732987500,3.0,3.0,,,,
2024-02-06 23:02:03.307000+00:00,22646544525,3.3,3.3,,,,
2024-02-07 23:02:02.490000+00:00,23175974515,3.443,3.443,,,,
2024-02-08 23:02:45.863000+00:00,23182873437,3.792,3.792,,,,
2024-02-09 23:01:21.005000+00:00,24068585114,3.88,3.88,,,,
2024-02-10 23:02:09.792000+00:00,24053720528,3.641,3.641,,,,
2024-02-11 23:02:04.064000+00:00,24053730354,3.336,3.336,,,,
2024-02-12 23:01:27.739000+00:00,25451982026,3.352,3.352,,,,
2024-02-13 23:02:20.800000+00:00,25424531525,4.275,4.275,,,,
2024-02-14 23:02:12.734000+00:00,27049017481,3.562,3.562,,,,
2024-02-15 23:02:56.881000+00:00,27309705308,3.279,3.279,,,,
2024-02-16 23:03:36.941000+00:00,27263988634,3.778,3.778,,,,
2024-02-17 23:02:44.752000+00:00,27294369118,3.126,3.126,,,,
2024-02-18 23:02:45.643000+00:00,27997797029,3.127,3.127,,,,
2024-02-19 23:02:06.916000+00:00,29065348699,3.263,3.263,,,,
2024-02-20 23:03:23.985000+00:00,29251788734,3.363,3.363,,,,
2024-02-21 23:02:41.466000+00:00,28614502893,3.466,3.466,,,,
2024-02-22 23:02:38.485000+00:00,29230175612,3.468,3.468,,,,
2024-02-23 23:03:19.249000+00:00,28829373369,3.415,3.415,,,,
2024-02-24 23:03:57.623000+00:00,29277853064,3.467,3.467,,,,
2024-02-25 23:02:01.690000+00:00,30502625248,3.148,3.148,,,,
2024-02-26 23:03:19.218000+00:00,31196506470,3.262,3.262,,,,
2024-02-27 23:02:55.425000+00:00,31861958743,3.472,3.472,,,,
2024-02-28 23:03:14.465000+00:00,32724017868,3.426,3.426,,,,
2024-02-29 23:01:28.057000+00:00,32738825734,3.7,3.7,,,,
2024-03-01 23:01:59.605000+00:00,33744163658,3.336,3.336,,,,
2024-03-02 23:02:03.182000+00:00,33521374470,3.49,3.49,,,,
2024-03-03 23:02:40.560000+00:00,34165505427,3.294,3.294,,,,
2024-03-04 16:02:03.661000+00:00,34789324383,3.449,3.449,,,,
2024-03-05 23:02:41.008000+00:00,34181903127,3.836,3.836,,,,
2024-03-06 23:02:02.912000+00:00,37810693355,4.13,4.13,,,,
2024-03-07 23:02:44.247000+00:00,38177828703,3.904,3.904,,,,
2024-03-08 23:17:38.058000+00:00,38509199913,3.523,3.523,,,,
